xs_id,left_fp_limit,right_fp_limit,n_left,n_main,n_right
1,,,0.5,0.3,0.5
3,,,0.5,0.3,0.5
5,1904.860787,7476.887622,0.5,0.3,0.5
6,2409.060841,8610.741481,0.5,0.3,0.5
7,1998.930619,9720.735259,0.5,0.3,0.5
8,1560.50281,8304.20002,0.5,0.3,0.5
9,1049.598672,8850.440242,0.5,0.3,0.5
11,951.7919496,3282.308527,0.5,0.3,0.5
14,983.4302394,2069.081491,0.5,0.3,0.5
15,453.8991019,4506.514482,0.5,0.3,0.5
19,3404.946874,8986.869319,0.5,0.3,0.5
21,4408.92579,8184.803049,0.5,0.3,0.5
24,8335.039133,9331.456098,0.5,0.3,0.5
29,,,0.5,0.3,0.5
31,,,0.5,0.3,0.5
36,,,0.5,0.3,0.5
42,,,0.5,0.3,0.5
46,,,0.5,0.3,0.5
51,,,0.5,0.3,0.5
53,,,0.5,0.3,0.5
